level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	8	0	0	0	0	0	0	2480	3505	-1	
2	8	1	0	0	0	150	112	583	57	-1	
3	8	1	1	0	0	150	112	583	57	-1	
4	8	1	1	1	0	150	112	583	57	-1	
5	8	1	1	1	1	150	113	226	55	96.238380	RED
5	8	1	1	1	2	411	112	322	57	95.982315	POINT
2	8	2	0	0	0	1473	149	111	27	-1	
3	8	2	1	0	0	1473	149	111	27	-1	
4	8	2	1	1	0	1473	149	111	27	-1	
5	8	2	1	1	1	1473	149	111	27	96.917534	004234
2	8	3	0	0	0	1474	199	309	31	-1	
3	8	3	1	0	0	1474	199	309	31	-1	
4	8	3	1	1	0	1474	199	309	31	-1	
5	8	3	1	1	1	1474	199	242	31	91.671410	MONEDEROLID,
5	8	3	1	1	2	1730	199	53	27	92.229118	S.L.
2	8	4	0	0	0	1474	240	502	41	-1	
3	8	4	1	0	0	1474	240	502	41	-1	
4	8	4	1	1	0	1474	240	502	41	-1	
5	8	4	1	1	1	1474	249	95	26	96.704811	PLAZA
5	8	4	1	1	2	1582	249	130	27	96.820747	MARCOS
5	8	4	1	1	3	1726	240	185	35	96.022476	FERNANDEZ
5	8	4	1	1	4	1923	248	53	33	96.964607	S/N
2	8	5	0	0	0	1472	299	93	27	-1	
3	8	5	1	0	0	1472	299	93	27	-1	
4	8	5	1	1	0	1472	299	93	27	-1	
5	8	5	1	1	1	1472	299	93	27	96.994797	47014
2	8	6	0	0	0	1796	299	198	27	-1	
3	8	6	1	0	0	1796	299	198	27	-1	
4	8	6	1	1	0	1796	299	198	27	-1	
5	8	6	1	1	1	1796	299	198	27	92.449951	VALLADOLID
2	8	7	0	0	0	1471	353	198	27	-1	
3	8	7	1	0	0	1471	353	198	27	-1	
4	8	7	1	1	0	1471	353	198	27	-1	
5	8	7	1	1	1	1471	353	198	27	92.237122	VALLADOLID
2	8	8	0	0	0	1474	400	120	35	-1	
3	8	8	1	0	0	1474	400	120	35	-1	
4	8	8	1	1	0	1474	400	120	35	-1	
5	8	8	1	1	1	1474	400	120	35	96.494797	ESPANA
2	8	9	0	0	0	132	393	749	45	-1	
3	8	9	1	0	0	132	393	749	45	-1	
4	8	9	1	1	0	132	393	749	45	-1	
5	8	9	1	1	1	132	393	200	37	92.421181	GUASCH
5	8	9	1	1	2	353	393	220	37	96.340363	FASHION
5	8	9	1	1	3	592	393	188	45	93.295006	GROUP,
5	8	9	1	1	4	798	393	83	37	88.533661	S.L.
2	8	10	0	0	0	133	524	304	28	-1	
3	8	10	1	0	0	133	524	304	28	-1	
4	8	10	1	1	0	133	524	304	28	-1	
5	8	10	1	1	1	133	524	55	28	96.538940	Red
5	8	10	1	1	2	203	525	75	27	92.541412	Point
5	8	10	1	1	3	289	525	23	27	92.541412	&
5	8	10	1	1	4	323	524	114	28	91.032837	Onades
2	8	11	0	0	0	132	574	301	33	-1	
3	8	11	1	0	0	132	574	301	33	-1	
4	8	11	1	1	0	132	574	301	33	-1	
5	8	11	1	1	1	132	575	69	27	93.297081	Ctra.
5	8	11	1	1	2	216	574	99	28	92.693199	Caldes
5	8	11	1	1	3	328	575	45	26	96.021034	Km
5	8	11	1	1	4	387	575	46	32	96.021034	0,2
2	8	12	0	0	0	135	624	377	34	-1	
3	8	12	1	0	0	135	624	377	34	-1	
4	8	12	1	1	0	135	624	377	34	-1	
5	8	12	1	1	1	135	625	89	27	93.294579	17240
5	8	12	1	1	2	239	624	163	34	92.258865	Llagostera,
5	8	12	1	1	3	416	625	96	27	96.854393	Girona
2	8	13	0	0	0	131	675	324	27	-1	
3	8	13	1	0	0	131	675	324	27	-1	
4	8	13	1	1	0	131	675	324	27	-1	
5	8	13	1	1	1	131	675	90	26	89.276688	V.A.T.
5	8	13	1	1	2	237	675	36	27	93.268654	ES
5	8	13	1	1	3	287	675	168	27	91.976364	B64584857
2	8	14	0	0	0	115	728	201	25	-1	
3	8	14	1	0	0	115	728	201	25	-1	
4	8	14	1	1	0	115	728	201	25	-1	
5	8	14	1	1	1	115	728	38	24	95.803650	N°
5	8	14	1	1	2	164	728	37	25	93.290077	de
5	8	14	1	1	3	212	728	104	25	92.160126	Pedido
2	8	15	0	0	0	499	728	88	25	-1	
3	8	15	1	0	0	499	728	88	25	-1	
4	8	15	1	1	0	499	728	88	25	-1	
5	8	15	1	1	1	499	728	88	25	96.537361	Fecha
2	8	16	0	0	0	1068	728	127	25	-1	
3	8	16	1	0	0	1068	728	127	25	-1	
4	8	16	1	1	0	1068	728	127	25	-1	
5	8	16	1	1	1	1068	729	23	23	92.521027	F.
5	8	16	1	1	2	1103	728	92	25	92.830559	Servir
2	8	17	0	0	0	1704	728	275	25	-1	
3	8	17	1	0	0	1704	728	275	25	-1	
4	8	17	1	1	0	1704	728	275	25	-1	
