level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	9	0	0	0	0	0	0	2480	3505	-1	
2	9	1	0	0	0	150	112	583	57	-1	
3	9	1	1	0	0	150	112	583	57	-1	
4	9	1	1	1	0	150	112	583	57	-1	
5	9	1	1	1	1	150	113	226	55	96.238380	RED
5	9	1	1	1	2	411	112	322	57	95.982315	POINT
2	9	2	0	0	0	88	66	718	246	-1	
3	9	2	1	0	0	88	66	718	246	-1	
4	9	2	1	1	0	88	66	718	246	-1	
5	9	2	1	1	1	88	66	718	246	95.000000	 
2	9	3	0	0	0	132	393	749	45	-1	
3	9	3	1	0	0	132	393	749	45	-1	
4	9	3	1	1	0	132	393	749	45	-1	
5	9	3	1	1	1	132	393	200	37	92.421181	GUASCH
5	9	3	1	1	2	353	393	220	37	96.340363	FASHION
5	9	3	1	1	3	592	393	188	45	93.295006	GROUP,
5	9	3	1	1	4	798	393	83	37	88.533661	S.L.
2	9	4	0	0	0	133	524	304	28	-1	
3	9	4	1	0	0	133	524	304	28	-1	
4	9	4	1	1	0	133	524	304	28	-1	
5	9	4	1	1	1	133	524	55	28	96.538940	Red
5	9	4	1	1	2	203	525	75	27	92.541412	Point
5	9	4	1	1	3	289	525	23	27	92.541412	&
5	9	4	1	1	4	323	524	114	28	91.032837	Onades
2	9	5	0	0	0	132	574	301	33	-1	
3	9	5	1	0	0	132	574	301	33	-1	
4	9	5	1	1	0	132	574	301	33	-1	
5	9	5	1	1	1	132	575	69	27	93.297081	Ctra.
5	9	5	1	1	2	216	574	99	28	92.693199	Caldes
5	9	5	1	1	3	328	575	45	26	96.021034	Km
5	9	5	1	1	4	387	575	46	32	96.021034	0,2
2	9	6	0	0	0	131	624	381	78	-1	
3	9	6	1	0	0	131	624	381	78	-1	
4	9	6	1	1	0	135	624	377	34	-1	
5	9	6	1	1	1	135	625	89	27	93.294579	17240
5	9	6	1	1	2	239	624	163	34	92.258865	Llagostera,
5	9	6	1	1	3	416	625	96	27	96.854393	Girona
4	9	6	1	2	0	131	675	324	27	-1	
5	9	6	1	2	1	131	675	90	26	90.528465	V.A.T.
5	9	6	1	2	2	237	675	36	27	93.285843	ES
5	9	6	1	2	3	287	675	168	27	93.004677	B64584857
2	9	7	0	0	0	115	728	201	25	-1	
3	9	7	1	0	0	115	728	201	25	-1	
4	9	7	1	1	0	115	728	201	25	-1	
5	9	7	1	1	1	115	728	38	24	95.803650	N°
5	9	7	1	1	2	164	728	37	25	93.290077	de
5	9	7	1	1	3	212	728	104	25	92.160126	Pedido
2	9	8	0	0	0	101	771	271	8	-1	
3	9	8	1	0	0	101	771	271	8	-1	
4	9	8	1	1	0	101	771	271	8	-1	
5	9	8	1	1	1	101	771	271	8	95.000000	 
2	9	9	0	0	0	283	806	86	27	-1	
3	9	9	1	0	0	283	806	86	27	-1	
4	9	9	1	1	0	283	806	86	27	-1	
5	9	9	1	1	1	283	806	86	27	96.769516	8167
2	9	10	0	0	0	101	844	271	8	-1	
3	9	10	1	0	0	101	844	271	8	-1	
4	9	10	1	1	0	101	844	271	8	-1	
5	9	10	1	1	1	101	844	271	8	95.000000	 
2	9	11	0	0	0	119	887	218	31	-1	
3	9	11	1	0	0	119	887	218	31	-1	
4	9	11	1	1	0	119	887	218	31	-1	
5	9	11	1	1	1	119	887	123	31	93.117996	Agencia
5	9	11	1	1	2	254	887	83	25	93.060036	Envio
2	9	12	0	0	0	113	1031	233	95	-1	
3	9	12	1	0	0	113	1031	233	95	-1	
4	9	12	1	1	0	192	1031	154	31	-1	
5	9	12	1	1	1	192	1031	67	31	96.231216	Tipo
5	9	12	1	1	2	270	1032	76	30	96.361664	Pago
4	9	12	1	2	0	113	1097	92	29	-1	
5	9	12	1	2	1	113	1097	92	29	96.317375	GIRO
2	9	13	0	0	0	179	1271	255	414	-1	
3	9	13	1	0	0	179	1271	255	414	-1	
4	9	13	1	1	0	179	1271	255	414	-1	
5	9	13	1	1	1	179	1271	255	414	56.238792	f
2	9	14	0	0	0	128	1266	344	1698	-1	
3	9	14	1	0	0	128	1266	344	1698	-1	
4	9	14	1	1	0	128	1266	344	1698	-1	
5	9	14	1	1	1	128	1266	344	1698	95.000000	 
2	9	15	0	0	0	499	728	88	25	-1	
3	9	15	1	0	0	499	728	88	25	-1	
4	9	15	1	1	0	499	728	88	25	-1	
5	9	15	1	1	1	499	728	88	25	93.218719	Fecha
2	9	16	0	0	0	455	805	175	33	-1	
3	9	16	1	0	0	455	805	175	33	-1	
4	9	16	1	1	0	455	805	175	33	-1	
5	9	16	1	1	1	455	805	175	33	92.098358	29/07/2026
